job_title,so_mau,luong_trung_binh,luong_trung_vi,luong_thap_nhat,luong_cao_nhat
pattern maker manager,2,75.0,75.0,50.0,100.0
phó giám đốc chi nhánh,1,75.0,75.0,50.0,100.0
phó giám đốc điều hành công ty thời trang,1,75.0,75.0,70.0,80.0
quality assurance dept manager high salary,1,75.0,75.0,50.0,100.0
trưởng nhóm kinh doanh bất động sản,1,75.0,75.0,50.0,100.0
trưởng phòng phát triển thị trường,1,75.0,75.0,50.0,100.0
trưởng phòng tài chính kế toán finance accounting manager,2,75.0,75.0,70.0,80.0
tổng quản lý giám đốc vận hành,1,75.0,75.0,50.0,100.0
công nhân kho,1,74.0,74.0,73.0,75.0
chương trình chuyển đổi bằng tập đoàn westfleisch đức,1,70.0,70.0,65.0,75.0
chương trình lao động chuyển đổi bằng tập đoàn westfleisch đức,1,70.0,70.0,65.0,75.0
engineering manager,1,70.0,70.0,60.0,80.0
giám đốc chi nhánh giám đốc ngân hàng bán lẻ,1,70.0,70.0,40.0,100.0
giám đốc chính sách sản phẩm công nghệ,1,70.0,70.0,50.0,90.0
giám đốc chăm sóc khách hàng,1,70.0,70.0,40.0,100.0
giám đốc khối chất lượng,1,70.0,70.0,60.0,80.0
giám đốc tài chính lương upto 80 triệu chỉ làm từ t2 t6,1,70.0,70.0,60.0,80.0
nhân viên kinh doanh mảng bất động sản thu nhập từ 40 100tr không cần kinh nghiệm,1,70.0,70.0,40.0,100.0
nhân viên làm bánh mỳ,1,70.0,70.0,40.0,100.0
nhân viên môi giới nhà ở hoa hồng trả ngay khi chốt quận 10,1,70.0,70.0,40.0,100.0
phó giám đốc kinh doanh ngành nông sản,1,70.0,70.0,40.0,100.0
business development manager electronics components semiconductor,1,68.75,68.75,50.0,87.5
chuyên gia tư vấn bán hàng senior sales consultant,1,68.75,68.75,62.5,75.0
fullstack engineer,2,68.75,67.5,60.0,80.0
giám đốc kinh doanh ngành quạt,1,68.75,68.75,37.5,100.0
process control improvement specialist,1,68.75,68.75,50.0,87.5
ctv kinh doanh bđs nhà phố,1,68.0,68.0,36.0,100.0
giám đốc chi nhánh bình thuận,2,68.0,68.0,56.0,80.0
giám đốc chi nhánh ninh hòa khánh hòa,1,68.0,68.0,56.0,80.0
114640 facilities fa system design manager machinery trưởng phòng thiết kế thiết bị,1,67.5,67.5,60.0,75.0
bác sĩ nội tiết,2,67.5,55.0,40.0,100.0
cộng tác viên tư vấn bđs thời gian linh hoạt,1,67.5,67.5,35.0,100.0
nhân viên kinh doanh bất động sản có lương cứng,3,66.66666666666667,22.5,10.0,300.0
117139 senior quantity manager construction,1,65.0,65.0,60.0,70.0
bác sĩ răng kinh nghiệm implant niềng răng,1,65.0,65.0,30.0,100.0
bác sĩ vật lý trị liệu,1,65.0,65.0,50.0,80.0
chuyên viên tư vấn chứng khoán cao cấp,2,65.0,65.0,30.0,100.0
cộng tác viên chứng khoán,2,65.0,65.0,30.0,100.0
e commerce manager 电商经理,1,65.0,65.0,50.0,80.0
giám đốc ban marketing,2,65.0,65.0,50.0,80.0
giám đốc ban pháp chế head of legal,2,65.0,65.0,50.0,80.0
giám đốc chi nhánh hcm,1,65.0,65.0,50.0,80.0
giám đốc kinh doanh hệ thống spa,1,65.0,65.0,50.0,80.0
giám đốc kinh doanh đèn led,1,65.0,65.0,50.0,80.0
giám đốc marketing truyền thông thương hiệu,1,65.0,65.0,50.0,80.0
giám đốc sales marketing mảng nhà hàng khách sạn,1,65.0,65.0,50.0,80.0
giám đốc sàn bđs lương 30 triệu hoa hồng 4 0,1,65.0,65.0,30.0,100.0
giám đốc truyền thông,1,65.0,65.0,50.0,80.0
internal control risk management manager,2,65.0,65.0,50.0,80.0
mega gangnam tư vấn viên,1,65.0,65.0,30.0,100.0
nhân viên kinh doanh môi trường,1,65.0,65.0,30.0,100.0
nhân viên kinh doanh tư vấn bất động sản tại hà nội,1,65.0,65.0,30.0,100.0
nhân viên tư vấn chứng khoán,1,65.0,65.0,30.0,100.0
nhân viên tư vấn trực tiếp thu nhập 40 triệu trở lên đi làm ngay,1,65.0,65.0,50.0,80.0
phó giám đốc điều hành công ty thời trang nữ,1,65.0,65.0,60.0,70.0
quản lý kinh doanh aff,1,65.0,65.0,30.0,100.0
sales manager tiếng nhật và anh,1,65.0,65.0,40.0,90.0
thực tập sinh tư vấn chứng khoán full time part time,2,65.0,65.0,30.0,100.0
trưởng phó phòng qa,1,64.0,64.0,48.0,80.0
giám đốc trung tâm khách hàng doanh nghiệp cmbc an nhơn,1,63.0,63.0,56.0,70.0
giám đốc trung tâm khách hàng doanh nghiệp cmbc an nhơn cmbc hố nai 3,1,63.0,63.0,56.0,70.0
giám đốc trung tâm khách hàng doanh nghiệp cmbc long thành,1,63.0,63.0,56.0,70.0
giám đốc trung tâm khách hàng doanh nghiệp cmbc long thành cmbc nguyễn văn linh,1,63.0,63.0,56.0,70.0
giám đốc chi nhánh tp hồ chí minh,1,62.5,62.5,50.0,75.0
giám đốc kinh doanh toàn quốc,1,62.5,62.5,50.0,75.0
giám đốc thương mại,1,62.5,62.5,50.0,75.0
phó tổng giám đốc kinh doanh,1,62.5,62.5,50.0,75.0
senior business transformation manager,1,62.5,62.5,50.0,75.0
giám đốc sàn dxmd việt nam đất xanh services lương 22 triệu tháng,1,61.0,61.0,22.0,100.0
101184 mandarin required service engineer trading,1,60.0,60.0,48.0,72.0
115995 head of branch foods,1,60.0,60.0,50.0,70.0
brand and communications manager,1,60.0,60.0,50.0,70.0
brand communications manager,2,60.0,60.0,50.0,70.0
chef de partie việc làm khách sạn 5 nước ngoài,4,60.0,60.0,20.0,100.0
chef de partie đầu bếp tàu du lịch,1,60.0,60.0,20.0,100.0
chuyên gia khoa học dữ liệu msb dt 1m470,1,60.0,60.0,55.0,65.0
chuyên gia phân tích kinh doanh msb dt 1m471,1,60.0,60.0,55.0,65.0
chuyên gia quản trị dữ liệu msb df 1m472,1,60.0,60.0,55.0,65.0
csr manager,3,60.0,60.0,50.0,70.0
giám đốc kinh doanh sales director thu nhập 40 80 triệu tháng nghỉ thứ 7 chủ nhật hà nội,1,60.0,60.0,40.0,80.0
giám đốc phát triển khách hàng,1,60.0,60.0,50.0,70.0
house keeping nhân viên buồng phòng làm việc trên tàu du lịch,3,60.0,60.0,20.0,100.0
kiểm tra sản phẩm,1,60.0,60.0,40.0,80.0
market access manager – innovative drugs,1,60.0,60.0,50.0,70.0
market research manager,1,60.0,60.0,50.0,70.0
nhân viên gia công cốt thép,1,60.0,60.0,40.0,80.0
quản lý kinh doanh kỹ sư nông nghiệp lĩnh vực phân bón,1,60.0,60.0,20.0,100.0
senior devops engineer,1,60.0,60.0,50.0,70.0
trưởng phòng kinh doanh bán buôn,1,60.0,60.0,50.0,70.0
trưởng phòng kinh doanh ô tô,1,60.0,60.0,50.0,70.0
xây dựng cốp pha,1,60.0,60.0,40.0,80.0
brse,1,59.0,59.0,50.0,68.0
cộng tác viên thẻ tín dụng online toàn quốc ngân hàng quốc tế vib,1,59.0,59.0,18.0,100.0
chuyên viên tư vấn kiêm sales,1,58.75,58.75,30.0,87.5
trưởng phòng kinh doanh bđs thu nhập lên đến 120 triệu tháng,2,58.75,57.5,15.0,100.0
operations manager,3,58.333333333333336,60.0,30.0,90.0
brse kỹ sư cầu nối tiếng nhật n1,1,57.5,57.5,35.0,80.0
export sales manager,1,57.5,57.5,50.0,65.0
giám đốc bán hàng cao cấp lương cứng 1500 4500,1,57.5,57.5,35.0,80.0
phó giám đốc chất lượng,1,57.5,57.5,45.0,70.0
phó giám đốc sản xuất kết cấu thép,1,57.5,57.5,45.0,70.0
giám đốc kinh doanh nội thất,1,57.0,57.0,17.0,97.0
bác sĩ nội tiết – nội tổng quát,2,56.25,52.5,45.0,70.0
bác sĩ đại diện,1,56.25,56.25,37.5,75.0
ga manager,1,56.25,56.25,37.5,75.0
giám đốc kinh doanh toàn quốc kênh otc,1,56.25,56.25,50.0,62.5
giám đốc phát triển đối tác khối khách hàng cá nhân,2,56.25,56.25,50.0,62.5
giám đốc quản trị danh mục và phân tích kinh doanh khối khcn,1,56.25,56.25,50.0,62.5
giám đốc vận hành hệ thống phòng khám,1,56.25,56.25,50.0,62.5
phiên dịch cấp cao tiếng hàn,1,56.25,56.25,37.5,75.0
phiên dịch viên cấp cao tiếng hàn cho ban giám đốc,1,56.25,56.25,37.5,75.0
phó tổng giám đốc phụ trách kinh doanh ngành dược,1,56.25,56.25,50.0,62.5
phó tổng giám đốc tài chính kế toán,1,56.25,56.25,37.5,75.0
regional sales,1,56.25,56.25,37.5,75.0
trường phòng kinh doanh,1,56.25,56.25,37.5,75.0
trưởng phòng kinh doanh dây chuyền thiết bị cơ khí chính xác,1,56.25,56.25,37.5,75.0
trưởng phòng nghiên cứu phát triển sản phẩm r d manager,1,56.25,56.25,37.5,75.0
trưởng phòng quan hệ nhà đầu tư,1,56.25,56.25,50.0,62.5
trưởng phòng r d tự động hóa,1,56.25,56.25,37.5,75.0
trưởng phòng sản xuất cao cấp,1,56.25,56.25,37.5,75.0
trưởng phòng tài chính thị trường nước ngoài,1,56.25,56.25,37.5,75.0
trưởng phòng kinh doanh bđs hcm,1,56.0,56.0,12.0,100.0
trưởng phòng kinh doanh có kinh nghiệm 1 năm quản lý bđs,1,56.0,56.0,12.0,100.0
115333 investment manager real estate,1,55.0,55.0,50.0,60.0
116119 korean or chinese speaking sales engineer kỹ sư kinh doanh water treatment system,1,55.0,55.0,50.0,60.0
bridge software engineer tiếng nhật,1,55.0,55.0,50.0,60.0
bác sĩ tư vấn dinh dưỡng thu nhập 40tr trở lên,1,55.0,55.0,40.0,70.0
call center manager,1,55.0,55.0,50.0,60.0
chuyên viên tư vấn bảo hiểm kênh ngân hàng bình dương,1,55.0,55.0,10.0,100.0
chuyên viên tư vấn bảo hiểm kênh ngân hàng long an,1,55.0,55.0,10.0,100.0
chuyên viên tư vấn bảo hiểm kênh ngân hàng lâm đồng,1,55.0,55.0,10.0,100.0
chuyên viên tư vấn bảo hiểm kênh ngân hàng ninh thuận,1,55.0,55.0,10.0,100.0
