job_title,so_mau,luong_trung_binh,luong_trung_vi,luong_thap_nhat,luong_cao_nhat
mega gangnam điều dưỡng phụ phẫu,2,30.0,30.0,20.0,40.0
middle java,1,30.0,30.0,25.0,35.0
motion artist,1,30.0,30.0,22.5,37.5
nhân viên bán hàng kv q12 hcm,1,30.0,30.0,10.0,50.0
nhân viên bán hàng lương cứng 10 triệu thu nhập lên đến 50 triệu đi làm ngay,1,30.0,30.0,10.0,50.0
nhân viên kinh doanh an dương hải phòng đi làm ngay,1,30.0,30.0,15.0,45.0
nhân viên kinh doanh b2b hà nội,1,30.0,30.0,10.0,50.0
nhân viên kinh doanh biết tiếng trung hoặc tiếng anh đi làm ngay,1,30.0,30.0,20.0,40.0
nhân viên kinh doanh bđs đi làm ngay,1,30.0,30.0,10.0,50.0
nhân viên kinh doanh cho thuê văn phòng,1,30.0,30.0,10.0,50.0
nhân viên kinh doanh hạt nhựa,1,30.0,30.0,10.0,50.0
nhân viên kinh doanh kv q12 hcm,1,30.0,30.0,10.0,50.0
nhân viên kinh doanh làm việc hà nội thu nhập trung bình trên 10 triệu,1,30.0,30.0,10.0,50.0
nhân viên kinh doanh lương 10 50 triệu không yêu cầu cao,1,30.0,30.0,10.0,50.0
nhân viên kinh doanh lương cơ bản từ 20 triệu,1,30.0,30.0,20.0,40.0
nhân viên kinh doanh ngành bia,1,30.0,30.0,20.0,40.0
nhân viên kinh doanh ngành f b,3,30.0,30.0,20.0,40.0
nhân viên kinh doanh nhôm,2,30.0,30.0,20.0,40.0
nhân viên kinh doanh online bán lẻ,1,30.0,30.0,20.0,40.0
nhân viên kinh doanh sale tư vấn du lịch hỗ trợ 100 data thu nhập 20 50 triệu tháng,1,30.0,30.0,15.0,45.0
nhân viên kinh doanh sales bất động sản,1,30.0,30.0,10.0,50.0
nhân viên kinh doanh thu nhập 20 40 triệu nghỉ t7 cn,1,30.0,30.0,20.0,40.0
nhân viên kinh doanh thu nhập tới 50 triệu tháng,1,30.0,30.0,10.0,50.0
nhân viên kinh doanh thu nhập từ 20 40 triệu,1,30.0,30.0,20.0,40.0
nhân viên kinh doanh thị trường hà nội,1,30.0,30.0,10.0,50.0
nhân viên kinh doanh thị trường nhôm kính hồ chí minh,1,30.0,30.0,20.0,40.0
nhân viên kinh doanh thị trường thu nhập lên đến 25 triệu,3,30.0,30.0,10.0,50.0
nhân viên kinh doanh tư vấn bán hàng du lịch nghỉ dưỡng,1,30.0,30.0,20.0,40.0
nhân viên kinh doanh tư vấn bán hàng ô tô,1,30.0,30.0,20.0,40.0
nhân viên kinh doanh tư vấn căn hộ cao cấp,1,30.0,30.0,10.0,50.0
nhân viên kinh doanh tư vấn du lịch nghỉ dưỡng,1,30.0,30.0,20.0,40.0
nhân viên kinh doanh xe ô tô,1,30.0,30.0,10.0,50.0
nhân viên lễ tân phòng golf,1,30.0,30.0,5.0,55.0
nhân viên phát triển mặt bằng hà nội,1,30.0,30.0,20.0,40.0
nhân viên sale thiết bị y tế nha khoa,2,30.0,30.0,20.0,40.0
nhân viên sale thu nhập từ 50 triệu tháng trở lên,1,30.0,30.0,10.0,50.0
nhân viên sales engineer tiếng nhật lương từ 20tr đến 40tr,1,30.0,30.0,20.0,40.0
nhân viên sales phụ trách kênh đại lý,1,30.0,30.0,10.0,50.0
nhân viên sysops,1,30.0,30.0,25.0,35.0
nhân viên telesales lương cứng 10 triệu thu nhập lên đến 50 triệu đi làm ngay,1,30.0,30.0,10.0,50.0
nhân viên thiết kế web web designer quận 11,1,30.0,30.0,25.0,35.0
nhân viên triển khai bản vẽ cad,1,30.0,30.0,10.0,50.0
nhân viên tư vấn bán hàng ô tô kia,2,30.0,30.0,20.0,40.0
nhân viên tư vấn du lịch không yêu cầu kinh nghiệm,1,30.0,30.0,20.0,40.0
nhân viên tư vấn du lịch thu nhập lên đến 20 40 triệu không yêu cầu kinh nghiệm,1,30.0,30.0,20.0,40.0
nhân viên tư vấn thẻ du lịch nghỉ dưỡng,1,30.0,30.0,20.0,40.0
nhân viên tư vấn thẻ hội viên,1,30.0,30.0,10.0,50.0
nhân viên xử lý nợ địa bàn,1,30.0,30.0,15.0,45.0
nhân viên xử lý nợ địa bàn long an,1,30.0,30.0,15.0,45.0
nhân viên đại diện kinh doanh,1,30.0,30.0,20.0,40.0
nữ nhân viên phục vụ s pub,1,30.0,30.0,20.0,40.0
operation incentive analyst team lead,1,30.0,30.0,25.0,35.0
phó giám đốc chi nhánh – mảng dịch vụ khách hàng ncb huế,1,30.0,30.0,25.0,35.0
phó phòng hành chính nhân sự 23798,1,30.0,30.0,25.0,35.0
phó phòng kinh doanh làm việc tại quận 2,1,30.0,30.0,20.0,40.0
phó phòng kinh doanh vận hành kinh doanh,1,30.0,30.0,25.0,35.0
phó phòng kỹ thuật hồ chí minh,1,30.0,30.0,25.0,35.0
phó phòng thiết kế mạnh điều hành,1,30.0,30.0,20.0,40.0
phó phòng thiết kế điện,1,30.0,30.0,25.0,35.0
phó phòng tiếp thị bán sản phẩm,1,30.0,30.0,25.0,35.0
phó phòng truyền thông,1,30.0,30.0,25.0,35.0
phó quản lý xưởng sản xuất làm việc tại kcn an hạ bình chánh tp hcm,1,30.0,30.0,25.0,35.0
phó tổng giám đốc,1,30.0,30.0,25.0,35.0
phó tổng giám đốc phụ trách thi công,1,30.0,30.0,25.0,35.0
pm project manager,1,30.0,30.0,20.0,40.0
pre sale system engineer,1,30.0,30.0,25.0,35.0
product customer development,1,30.0,30.0,25.0,35.0
product marketing team leader,1,30.0,30.0,25.0,35.0
project manager thu nhập 20 40 triệu,1,30.0,30.0,20.0,40.0
qa manager hà nội,1,30.0,30.0,25.0,35.0
quản lí triển khai,1,30.0,30.0,25.0,35.0
quản lý bán hàng trực tuyến,1,30.0,30.0,20.0,40.0
quản lý chi nhánh thẩm mỹ viện,1,30.0,30.0,20.0,40.0
quản lý chăm sóc khách hàng nhà hàng,1,30.0,30.0,20.0,40.0
quản lý dự án web application pm,1,30.0,30.0,25.0,35.0
quản lý hiện trường kho,1,30.0,30.0,25.0,35.0
quản lý khu vực mảng mỹ phẩm,1,30.0,30.0,20.0,40.0
quản lý khách sạn tại hoàn kiếm hà nội,1,30.0,30.0,20.0,40.0
quản lý kinh doanh dược phẩm 18 35 triệu thưởng doanh số,1,30.0,30.0,20.0,40.0
quản lý kinh doanh phó phòng kinh doanh sales manager,1,30.0,30.0,20.0,40.0
quản lý kênh và vận hành video ngắn,1,30.0,30.0,25.0,35.0
quản lý nội dung,1,30.0,30.0,25.0,35.0
quản lý shop,1,30.0,30.0,25.0,35.0
quản lý spa thẩm mỹ,1,30.0,30.0,20.0,40.0
quản lý telesales chăm sóc khách hàng,1,30.0,30.0,20.0,40.0
quản lý tiềm năng quản lý kinh doanh thu nhập trung bình từ 20 triệu trở lên,1,30.0,30.0,20.0,40.0
quản lý trung tâm anh ngữ tp hcm đà nẵng,1,30.0,30.0,20.0,40.0
quản lý trình dược viên otc kv tây bắc,1,30.0,30.0,20.0,40.0
quản đốc sản xuất nhà máy châu đức,1,30.0,30.0,20.0,40.0
ruby junior developer,1,30.0,30.0,28.0,32.0
sale kiêm trợ lý giám đốc biết tiếng trung và anh,1,30.0,30.0,10.0,50.0
sale manager mảng khách sạn,1,30.0,30.0,20.0,40.0
sales engineer nhân viên bán hàng lương từ 20tr đến 40tr,1,30.0,30.0,20.0,40.0
sales engineer tiếng nhật n3 upto 35m gross,1,30.0,30.0,25.0,35.0
sales freight forwarder tiếng nhật n2,1,30.0,30.0,25.0,35.0
sales manager hrc channel,1,30.0,30.0,25.0,35.0
senior b2b sales executive,1,30.0,30.0,10.0,50.0
senior business analyst kiêm tester,1,30.0,30.0,20.0,40.0
senior cost accountant,1,30.0,30.0,20.0,40.0
senior fabric technician,1,30.0,30.0,30.0,30.0
senior middle php developer,1,30.0,30.0,25.0,35.0
senior project coordinator,1,30.0,30.0,25.0,35.0
senior sales b2b executive,1,30.0,30.0,10.0,50.0
senior sublead java,1,30.0,30.0,25.0,35.0
software quality assurance engineer,1,30.0,30.0,25.0,35.0
telesales leader số mới,1,30.0,30.0,25.0,35.0
thư ký chủ tich hđqt,1,30.0,30.0,20.0,40.0
trade marketing team leader,1,30.0,30.0,25.0,35.0
trưởng ban kiểm soát làm việc tại nam từ liêm hà nội,1,30.0,30.0,25.0,35.0
trưởng bộ phận games,1,30.0,30.0,20.0,40.0
trưởng bộ phận kỹ thuật sản xuất thiết kế,1,30.0,30.0,25.0,35.0
trưởng bộ phận mua hàng,1,30.0,30.0,25.0,35.0
trưởng bộ phận qa qc thử nghiệm,1,30.0,30.0,25.0,35.0
trưởng bộ phận sáng tạo marketing,1,30.0,30.0,25.0,35.0
trưởng kênh thương mại điện tử,1,30.0,30.0,25.0,35.0
trưởng nhóm dự toán mep a79,1,30.0,30.0,25.0,35.0
trưởng nhóm kinh doanh sales leader,1,30.0,30.0,20.0,40.0
trưởng nhóm kinh doanh thị trường,1,30.0,30.0,25.0,35.0
trưởng nhóm kinh doanh tại hcm,1,30.0,30.0,10.0,50.0
trưởng nhóm kinh doanh tại hoàng mai hà nội,1,30.0,30.0,10.0,50.0
trưởng nhóm kinh doanh tại hà nội,1,30.0,30.0,10.0,50.0
trưởng nhóm kinh doanh tại đà nẵng,1,30.0,30.0,10.0,50.0
trưởng nhóm kiến trúc sư cảnh quan,1,30.0,30.0,25.0,35.0
trưởng nhóm kiến trúc sư kỹ thuật cảnh quan,1,30.0,30.0,25.0,35.0
trưởng nhóm mua hàng quốc tế,1,30.0,30.0,25.0,35.0
trưởng nhóm ngoại thương,1,30.0,30.0,20.0,40.0
trưởng nhóm nhắc phí qua điện thoại,1,30.0,30.0,20.0,40.0
trưởng nhóm phát triển khách hàng dự án,1,30.0,30.0,20.0,40.0
trưởng nhóm sale chăm sóc khách hàng,1,30.0,30.0,20.0,40.0
trưởng nhóm stylist,1,30.0,30.0,25.0,35.0
trưởng nhóm thiết kế cơ khí r d sản phẩm gia dụng,1,30.0,30.0,25.0,35.0
trưởng nhóm thu hồi nợ qua điện thoại thu nhập đến 40 triệu,1,30.0,30.0,20.0,40.0
trưởng phòng call center,1,30.0,30.0,25.0,35.0
trưởng phòng chiến lược kinh doanh,1,30.0,30.0,20.0,40.0
trưởng phòng cung ứng mua sắm,1,30.0,30.0,25.0,35.0
trưởng phòng dịch vụ trải nghiệm khách hàng,1,30.0,30.0,25.0,35.0
trưởng phòng giám sát,1,30.0,30.0,20.0,40.0
trưởng phòng kinh doanh hồ chí minh từ 25 35 triệu,1,30.0,30.0,25.0,35.0
trưởng phòng kinh doanh khu vực,1,30.0,30.0,10.0,50.0
trưởng phòng kinh doanh kênh 2a2c,1,30.0,30.0,20.0,40.0
trưởng phòng kinh doanh kênh sỉ,1,30.0,30.0,25.0,35.0
trưởng phòng kinh doanh phụ gia ô tô,1,30.0,30.0,15.0,45.0
trưởng phòng kinh doanh tiếng anh tốt,1,30.0,30.0,25.0,35.0
trưởng phòng kinh doanh tài chính bảo hiểm,1,30.0,30.0,20.0,40.0
trưởng phòng kinh doanh ô tô ngành xe tải,1,30.0,30.0,20.0,40.0
trưởng phòng kinh doanh – phụ trách thị trường phía nam,1,30.0,30.0,25.0,35.0
trưởng phòng kế hoạch hàng hóa thời trang,1,30.0,30.0,25.0,35.0
trưởng phòng marketing thu nhập 25 35m triệu,1,30.0,30.0,25.0,35.0
trưởng phòng mua hàng nội địa,1,30.0,30.0,25.0,35.0
trưởng phòng mua hàng sản xuất,1,30.0,30.0,25.0,35.0
trưởng phòng mua sắm tài sản,1,30.0,30.0,25.0,35.0
trưởng phòng môi trường,1,30.0,30.0,25.0,35.0
trưởng phòng nhân sự thu nhập 25 đến 35 triệu quận 2 hcm đi làm ngay,1,30.0,30.0,25.0,35.0
trưởng phòng quản lý sản xuất long an,1,30.0,30.0,20.0,40.0
trưởng phòng quản lý thi công,1,30.0,30.0,25.0,35.0
trưởng phòng sales admin,1,30.0,30.0,25.0,35.0
trưởng phòng sales marketing,2,30.0,27.5,25.0,35.0
trưởng phòng telesale,1,30.0,30.0,20.0,40.0
trưởng phòng telesale mảng nha khoa hcm,1,30.0,30.0,20.0,40.0
trưởng phòng thiết kế hvac,1,30.0,30.0,25.0,35.0
trưởng phòng thúc đẩy tuyển sinh ocean edu hội sở,1,30.0,30.0,25.0,35.0
trưởng phòng truyền thông,1,30.0,30.0,25.0,35.0
trưởng phòng tự động hóa máy cnc,1,30.0,30.0,25.0,35.0
trưởng trạm bảo hành hãng lg,1,30.0,30.0,25.0,35.0
trưởng vùng kinh doanh chuyển phát nhanh,1,30.0,30.0,20.0,40.0
tuyển dụng lập trình viên dev,1,30.0,30.0,25.0,35.0
tuyển gấp lead telesale đi làm ngay ở phố huế hn,1,30.0,30.0,20.0,40.0
tài xế lái xe hạng fc,1,30.0,30.0,20.0,40.0
warehouse logistics manager,2,30.0,30.0,25.0,35.0
warehouse supervisor,2,30.0,27.5,25.0,35.0
y tá điều dưỡng da liễu có cchn thu nhập 20 35tr đi làm ngay,1,30.0,30.0,20.0,40.0
điều phối dự án mep,1,30.0,30.0,25.0,35.0
kỹ sư ie,3,29.83333333333333,21.0,12.0,50.0
quản lý chi nhánh,9,29.72222222222222,20.0,10.0,100.0
sale manager,3,29.58333333333333,27.5,15.0,50.0
112635 retail sales executive chuyên viên kinh doanh printers,1,29.5,29.5,26.0,33.0
113824 b2b sales executive chuyên viên kinh doanh trading,1,29.5,29.5,26.0,33.0
bác sĩ da liễu thẩm mỹ,3,29.5,27.5,12.0,60.0
giám sát bán hàng dĩ an bình dương,1,29.5,29.5,28.0,31.0
giám sát bán hàng hòa thành tây ninh,1,29.5,29.5,28.0,31.0
giám sát bán hàng đắk mil đắk nông,2,29.5,29.5,28.0,31.0
kiểm toán viên có chứng chỉ cpa,1,29.5,29.5,27.0,32.0
paper sales staff,1,29.5,29.5,27.0,32.0
sales b2b it hardware products 33m,1,29.5,29.5,26.0,33.0
software mid level engineer,1,29.5,29.5,29.0,30.0
hr ga manager,3,29.33333333333333,35.5,0.0,50.0
sales leader,11,29.318181818181817,21.5,5.0,100.0
nhân viên kinh doanh thu nhập upto 30 triệu tháng phỏng vấn đi làm ngay,1,29.25,29.25,8.5,50.0
quản lý kinh doanh vùng kênh etc,2,29.25,26.0,22.0,40.0
giám đốc kinh doanh dự án,3,29.166666666666668,30.0,20.0,40.0
nhân viên xuất nhập khẩu tiếng trung,3,29.166666666666668,25.0,0.0,100.0
trưởng phòng tuyển dụng,3,29.166666666666668,25.0,10.0,62.5
111615 korean speaking sales outdoor staff nhân viên kinh doanh tiếng hàn thương mại,1,29.0,29.0,25.0,33.0
113657 senior sales executive marketing agency,1,29.0,29.0,23.0,35.0
115955 chief accountant manufacturing kế toán trưởng ngành sản xuất,1,29.0,29.0,23.0,35.0
116044 project sales electrical equipment,1,29.0,29.0,23.0,35.0
116134 mechanical engineer water treatment,1,29.0,29.0,23.0,35.0
118009 project sales water treatment,1,29.0,29.0,23.0,35.0
chủ trì thiết kế nội thất,1,29.0,29.0,28.0,30.0
data engineer upto 25m,1,29.0,29.0,18.0,40.0
giám đốc khách hàng cá nhân,1,29.0,29.0,18.0,40.0
giám đốc nhà sách,2,29.0,29.0,25.0,33.0
kỹ sư xây dựng – shop drawing,1,29.0,29.0,28.0,30.0
mass recruitment manager,1,29.0,29.0,28.0,30.0
nhân viên bán hàng tại văn phòng quận hoàng mai hà nội,1,29.0,29.0,8.0,50.0
nhân viên kinh doanh bất động sản đi làm ngay thu nhập khủng,1,29.0,29.0,8.0,50.0
nhân viên kinh doanh phụ kiện khóa cửa thu nhập trên 10tr,2,29.0,29.0,8.0,50.0
nhân viên kinh doanh thu nhập tới 50 triệu,1,29.0,29.0,8.0,50.0
nhân viên kinh doanh tại hcm,1,29.0,29.0,8.0,50.0
nhân viên kinh doanh tại đà nẵng,1,29.0,29.0,8.0,50.0
nhân viên quầy casino dealer,1,29.0,29.0,18.0,40.0
nhân viên quầy thu ngân cashier operator,1,29.0,29.0,18.0,40.0
quản lý cơ sở thẩm mỹ spa,1,29.0,29.0,18.0,40.0
sales software manager,1,29.0,29.0,23.0,35.0
software sales executive,1,29.0,29.0,18.0,40.0
sustainability representative,1,29.0,29.0,25.0,33.0
technical business analyst,1,29.0,29.0,28.0,30.0
trình dược viên bắc ninh bắc giang hưng yên hải phòng,1,29.0,29.0,8.0,50.0
110122 accounting assistant manager real estate,1,28.75,28.75,25.0,32.5
113333 giám sát sản xuất ngành sản xuất,2,28.75,28.75,25.0,32.5
115416 qa supervisor equipment,1,28.75,28.75,20.0,37.5
ads marketing,2,28.75,25.0,20.0,40.0
assistant manager bộ phận bản mạch smt1,1,28.75,28.75,20.0,37.5
assistant manager bộ phận sản xuất,1,28.75,28.75,20.0,37.5
bodyshop area manager automobile factory,1,28.75,28.75,20.0,37.5
chuyên viên an toàn bảo mật thông tin,2,28.75,26.0,22.0,40.0
chuyên viên cao cấp chuyên gia quản lý kênh và quản lý chất lượng khối sme,1,28.75,28.75,25.0,32.5
chuyên viên phát triển thị trường lĩnh vực tự động hóa công nghiệp giải pháp intralogistics,1,28.75,28.75,20.0,37.5
chuyên viên phát triển thị trường lĩnh vực tự động hóa dân sinh,1,28.75,28.75,20.0,37.5
chuyên viên phát triển thị trường sản phẩm kho thông minh kardex,1,28.75,28.75,20.0,37.5
chuyên viên phát triển thị trường sản phẩm máy in công nghiệp,1,28.75,28.75,20.0,37.5
chuyên viên phát triển thị trường thiết bị đào tạo kỹ thuật,1,28.75,28.75,20.0,37.5
chuyên viên phát triển thị trường tự động hóa công nghiệp đóng gói tự động,1,28.75,28.75,20.0,37.5
consultant assistant,2,28.75,27.5,25.0,35.0
embedded system developer kỹ sư lập trình nhúng,1,28.75,28.75,20.0,37.5
home textile designer,2,28.75,28.75,20.0,37.5
hrbp manager,2,28.75,22.5,20.0,40.0
hull surveyor,1,28.75,28.75,0.0,57.5
international sales leader sales executive,1,28.75,28.75,20.0,37.5
kế toán trưởng làm việc tại hcm,1,28.75,28.75,20.0,37.5
kỹ sư bản mạch điện tử tiếng nhật,1,28.75,28.75,20.0,37.5
kỹ sư lắp ráp sơn hàn,1,28.75,28.75,20.0,37.5
marine inspector,1,28.75,28.75,0.0,57.5
nhân viên thu hồi nợ tại hiện trường,2,28.75,27.5,15.0,45.0
retail channel manager quản lý chuỗi bán lẻ,2,28.75,28.75,25.0,32.5
senior developer,2,28.75,22.5,15.0,40.0
thiết kế chăn ga gối nệm,1,28.75,28.75,20.0,37.5
trưởng nhóm thiết kế cơ khí thu nhập đến 1500,1,28.75,28.75,20.0,37.5
trưởng phòng nhân sự,23,28.75,25.0,0.0,60.0
trưởng phòng phụ trách nhân sự,2,28.75,25.0,20.0,40.0
trưởng phòng qa,4,28.75,25.0,20.0,40.0
trưởng phòng đấu thầu,4,28.75,25.0,20.0,45.0
trợ lý tgđ,1,28.75,28.75,25.0,32.5
trợ lý trưởng phòng sản xuất,1,28.75,28.75,20.0,37.5
nhân viên kinh doanh bất động sản,24,28.65625,16.5,4.0,200.0
trưởng phòng kỹ thuật,11,28.545454545454547,27.5,15.0,50.0
chuyên viên cao cấp tài chính,1,28.5,28.5,25.0,32.0
chuyên viên phát triển ứng dụng nội bộ tt ptud,1,28.5,28.5,27.0,30.0
chuyên viên tư vấn căn hộ cao cấp,1,28.5,28.5,7.0,50.0
electronics after sales services,1,28.5,28.5,17.0,40.0
giám sát chất lượng biết tiếng trung qualiry supervisor,1,28.5,28.5,17.0,40.0
giám sát kinh doanh mặt hàng food làm việc hà nội hồ chí minh quảng nam,1,28.5,28.5,17.0,40.0
giám đốc kd miền bắc asm kênh y tế,1,28.5,28.5,22.0,35.0
giám đốc quan hệ khách hàng tín dụng rb msb 3f243,1,28.5,28.5,22.0,35.0
jr brand manager sr assistant brand manager,1,28.5,28.5,27.0,30.0
mobile developer iot,1,28.5,28.5,25.0,32.0
nhân viên chế biến thức ăn okayama nhật bản,1,28.5,28.5,28.0,29.0
nhân viên kinh doanh mảng phụ gia,1,28.5,28.5,17.0,40.0
nhân viên kinh doanh quận 7,1,28.5,28.5,7.0,50.0
nhân viên kinh doanh ô tô hino,1,28.5,28.5,7.0,50.0
nhân viên sales ô tô thu nhập up to 50 triệu,1,28.5,28.5,7.0,50.0
nhân viên tư vấn bán hàng telesales ca đêm không yêu cầu kinh nghiệm thu nhập 7tr đến 50tr,1,28.5,28.5,7.0,50.0
nhân viên tư vấn du lịch thu nhập lên đến 30 triệu 50 triệu,1,28.5,28.5,7.0,50.0
nhân viên đúc nhựa linh kiện ô tô tại nhật bản,1,28.5,28.5,27.0,30.0
quản lý khu vực khu vực nghệ an thanh hóa hà tĩnh quảng bình,1,28.5,28.5,27.0,30.0
reserch management officer,1,28.5,28.5,25.0,32.0
senior brand marketing specialist,1,28.5,28.5,25.0,32.0
trưởng phòng kinh doanh vlxd và nội thất,1,28.5,28.5,27.0,30.0
trưởng phòng nhân sự hành chính,2,28.5,28.5,27.0,30.0
trưởng phòng marketing,94,28.44414893617021,27.5,0.0,87.5
chuyên viên chạy quảng cáo ngành spa,3,28.33333333333333,32.5,15.0,40.0
giám đốc trung tâm,2,28.25,21.5,18.0,50.0
tuyển nhân viên kinh doanh,2,28.25,21.5,8.0,50.0
cán bộ kinh doanh,3,28.166666666666668,32.5,9.0,50.0
tuyển dụng nhân viên kinh doanh b2b tại hn và hcm,3,28.166666666666668,23.5,12.0,50.0
e commerce manager,2,28.125,27.5,15.0,40.0
phó trưởng phòng tài chính,2,28.125,25.0,20.0,37.5
makerting manager,9,28.11111111111111,25.0,18.0,40.0
107301 engineering manager quản lý kỹ thuật manufacturing,1,28.0,28.0,23.0,33.0
116574 quality manager trưởng phòng chất lượng manufacturing,1,28.0,28.0,23.0,33.0
116576 engineering manager quản lý kỹ thuật manufacturing,1,28.0,28.0,23.0,33.0
automation test engineer,1,28.0,28.0,22.0,34.0
chuyên viên tư vấn quận 1,1,28.0,28.0,16.0,40.0
giám sát kinh doanh kênh on,1,28.0,28.0,26.0,30.0
merchant support team leader,1,28.0,28.0,18.0,38.0
nhân viên backend,1,28.0,28.0,22.0,34.0
nhân viên kinh doanh quận 1,1,28.0,28.0,16.0,40.0
quản lý kinh doanh tiềm năng đi làm ngay,2,28.0,28.0,16.0,40.0
trưởng nhóm pháp chế,2,28.0,18.5,17.0,45.0
trưởng phòng thiết kế thời trang,3,28.0,26.5,20.0,40.0
109954 saleman water treatment nhân viên kinh doanh ngành xử lý nước thải,1,27.75,27.75,23.0,32.5
chuyên viên môi giới chứng khoán,1,27.75,27.75,5.5,50.0
nhân viên kinh doanh hoạch định tài chính,2,27.75,25.5,10.0,50.0
chuyên viên tư vấn bán hàng,7,27.642857142857142,21.0,10.0,100.0
quality control,2,27.625,11.5,10.0,62.5
109713 manager of finance and accounting trưởng phòng kế toán tài chính sản xuất,1,27.5,27.5,25.0,30.0
111089 architect staff or assistant manager real estate,1,27.5,27.5,15.0,40.0
111975 sales staff trading nhân viên kinh doanh ngành thương mại,1,27.5,27.5,25.0,30.0
112291 compliance and security staff fintech,1,27.5,27.5,25.0,30.0
113689 solution product marketing assistant manager printing,1,27.5,27.5,25.0,30.0
115269 esg auditor testing service,1,27.5,27.5,25.0,30.0
116272 chinese speaking sales engineer kỹ sư kinh doanh machinery,1,27.5,27.5,25.0,30.0
116756 senior technical sales executive ink,1,27.5,27.5,25.0,30.0
117420 sales staff nhân viên kinh doanh trading,1,27.5,27.5,25.0,30.0
117492 sales staff nhân viên kinh doanh và hỗ trợ khách hàng it network,1,27.5,27.5,25.0,30.0
117607 architectural operator manager construction,1,27.5,27.5,23.0,32.0
117752 chemicals safety management officer chemical,1,27.5,27.5,20.0,35.0
118044 import export leader manufacturing trưởng nhóm xuất nhập khẩu sản xuất,1,27.5,27.5,25.0,30.0
118093 sales executive medical equipment,1,27.5,27.5,23.0,32.0
118106 sales representative chemicals machinery,1,27.5,27.5,25.0,30.0
118143 key account executive foods,1,27.5,27.5,25.0,30.0
account management team leader,1,27.5,27.5,25.0,30.0
account payable specialist,2,27.5,27.5,25.0,30.0
art director,1,27.5,27.5,20.0,35.0
asm kênh bệnh viện miền tây,1,27.5,27.5,20.0,35.0
brand marketing team lead mizuwari bar,1,27.5,27.5,25.0,30.0
business development lead,1,27.5,27.5,20.0,35.0
business development technical sales,1,27.5,27.5,25.0,30.0
bình dương trưởng nhóm kinh doanh chuyển phát nhanh,1,27.5,27.5,20.0,35.0
c b manager,1,27.5,27.5,25.0,30.0
chief production planner,1,27.5,27.5,25.0,30.0
chief production planner biet tiêng trung,1,27.5,27.5,25.0,30.0
chuyên gia chuyên viên cao cấp thẩm định tín dụng khách hàng doanh nghiệp smes,1,27.5,27.5,20.0,35.0
chuyên gia đào tạo,1,27.5,27.5,15.0,40.0
chuyên viên backend developer,1,27.5,27.5,20.0,35.0
chuyên viên bán hàng máy lọc nước,1,27.5,27.5,5.0,50.0
chuyên viên cao cấp quản trị rủi ro công nghệ thông tin,1,27.5,27.5,20.0,35.0
chuyên viên cao cấp quản trị rủi ro tín dụng,1,27.5,27.5,25.0,30.0
chuyên viên cao cấp tài chính kế hoạch,1,27.5,27.5,20.0,35.0
chuyên viên chính sách thu nhập cạnh tranh,1,27.5,27.5,25.0,30.0
chuyên viên chạy tiktok ads kênh ai công ty dược 10 năm thu nhâp 20 40m,1,27.5,27.5,15.0,40.0
chuyên viên digital marketing thu nhập 20 35tr,1,27.5,27.5,20.0,35.0
chuyên viên fullstack,1,27.5,27.5,20.0,35.0
chuyên viên giải pháp solution specialist,2,27.5,27.5,25.0,30.0
chuyên viên it devops,1,27.5,27.5,25.0,30.0
chuyên viên kinh doanh b2b basic 30mil,1,27.5,27.5,20.0,35.0
chuyên viên kinh doanh giải pháp nhà thông minh smarthome tại hà nội,1,27.5,27.5,20.0,35.0
chuyên viên kinh doanh phát triển thị trường hồ chí minh lương cứng 10 15tr hoa hồng thu nhập 20 50tr,2,27.5,27.5,20.0,35.0
chuyên viên kinh doanh phát triển thị trường hồ chí minh đồng nai vũng tàu,1,27.5,27.5,20.0,35.0
chuyên viên kinh doanh tư vấn nền tảng quản trị doanh nghiệp hợp nhất misa amis,1,27.5,27.5,25.0,30.0
chuyên viên kiểm toán công nghệ thông tin,1,27.5,27.5,25.0,30.0
chuyên viên pháp chế cao cấp,2,27.5,27.5,25.0,30.0
chuyên viên quản lý sản phẩm ngân hàng số,1,27.5,27.5,20.0,35.0
chuyên viên quản lý thiết bị điện lạnh tại thị trường miền đông mem supervisor,1,27.5,27.5,24.0,31.0
chuyên viên quản trị cơ sở dữ liệu,1,27.5,27.5,20.0,35.0
chuyên viên sở hữu trí tuệ trong nước và quốc tế,2,27.5,27.5,25.0,30.0
chuyên viên thanh tra dịch vụ,1,27.5,27.5,15.0,40.0
chuyên viên thu hồi nợ hiện trường toàn quốc ta155,1,27.5,27.5,20.0,35.0
chuyên viên tìm kiếm và phát triển mặt bằng,2,27.5,27.5,25.0,30.0
chuyên viên tư vấn thiết kế và tự động hóa,1,27.5,27.5,25.0,30.0
chuyên viên tư vấn thu nhập từ 15 triệu trở lên,1,27.5,27.5,15.0,40.0
chuyên viên vận hành sàn,1,27.5,27.5,25.0,30.0
chuyên viên xử lý nợ tố tụng,1,27.5,27.5,15.0,40.0
chuyên viên đầu tư tài chính,1,27.5,27.5,25.0,30.0
chuyển viên kinh doanh software cloud,1,27.5,27.5,20.0,35.0
chỉ huy trưởng công trình giao thông dân dụng thủy lợi,1,27.5,27.5,25.0,30.0
chỉ huy trưởng công trình hạ tầng kỹ thuật,1,27.5,27.5,25.0,30.0
