job_title,so_viec_lam
nhân viên nhân sự tổng hợp,16
nhân viên cơ khí,16
sales staff,16
kỹ sư thiết kế điện,16
chuyên viên tuyển dụng đào tạo,16
nhân viên kinh doanh xuất nhập khẩu,16
nhân viên admin,16
trade marketing executive,15
assistant brand manager,15
nhân viên vận hành máy cnc,15
nhân viên bán hàng thời trang,15
nhân viên hỗ trợ kinh doanh,15
chuyên viên kinh doanh bất động sản,15
giao dịch viên tài chính tại cửa hàng pnj,15
quản lý kho,15
quản lý nhà hàng,15
trưởng nhóm chăm sóc khách hàng,15
quản lý cửa hàng thời trang thể thao,15
nhân viên hành chính nhân sự tổng hợp,15
tư vấn bán hàng đa nhiệm,15
nhân viên phụ bếp,14
nhân viên kế toán công nợ,14
giáo viên chủ nhiệm,14
nhân viên sales,14
marketing leader,14
nhân viên qa qc,14
nhân viên r d,14
giám sát bán hàng,14
account executive,14
trưởng nhóm tuyển sinh,14
nhân viên khai báo hải quan,14
nhân viên kinh doanh logistics,14
chuyên viên phân tích dữ liệu,14
key account manager,14
chuyên viên telesales,14
nhân viên thị trường,14
nhân viên quay dựng video,14
digital marketing leader,13
chuyên viên thu mua,13
brand manager,13
quản lý cửa hàng thời trang,13
nhân viên kinh doanh phát triển thị trường,13
kỹ sư trắc đạc,13
nhân viên content creator,13
lao động phổ thông,13
chuyên viên truyền thông nội bộ,13
giám sát thi công nội thất,13
nhân viên phiên dịch tiếng trung,13
kỹ sư giám sát xây dựng,13
nhân viên thiết kế 3d,13
phiên dịch tiếng hàn,13
kỹ sư shopdrawing,13
nhân viên thiết kế cơ khí,13
nhân viên trade marketing,13
trình dược viên otc không cần kinh nghiệm,13
trưởng nhóm trade marketing,13
nhân viên thống kê sản xuất,13
nhân viên thiết kế thời trang,13
telesales,13
chuyên viên thiết kế đồ họa,13
nhân viên booking kol koc,13
nhân viên kho vận,12
chuyên viên phát triển dự án,12
chuyên viên hành chính,12
kế toán dự án,12
trưởng ca sản xuất,12
project manager,12
nhân viên lái xe văn phòng,12
công nhân sản xuất,12
kỹ sư giám sát công trình,12
chuyên viên content,12
nhân viên tư vấn trả góp tổng thu nhập từ 10 triệu trở lên,12
nhân viên kinh doanh ô tô,12
chuyên viên seo,12
nhân viên kinh doanh kênh gt,12
nhân viên đấu thầu,12
merchandiser,12
nhân viên an toàn lao động,12
nhân viên kỹ thuật cơ điện,12
nhân viên it helpdesk,12
chuyên viên quay dựng video,12
marketing intern,12
nhân viên marketing ads,12
trưởng phòng mua hàng,12
thực tập sinh hành chính nhân sự,12
chuyên viên truyền thông,12
